Query ID,Category,Query,Ground Truth,Model Response,Prediction,Confusion Matrix Class,Correct
Q212,Suspicious Process,Did the endpoint execute an unusual command? (log case 212),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q130,Network Anomaly,Was unusual outbound network traffic detected? (log case 130),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q163,Privilege Escalation,Did the event indicate possible privilege escalation? (log case 163),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q224,Benign Activity,Did the logs indicate benign user behavior? (log case 224),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q042,Network Anomaly,Was there abnormal port scanning activity? (log case 042),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q279,Benign Activity,Was the observed activity non-malicious? (log case 279),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q022,Network Anomaly,Was unusual outbound network traffic detected? (log case 022),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q435,Benign Activity,Was the observed activity non-malicious? (log case 435),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q069,Authentication Attack,Did the authentication logs show credential-stuffing behavior? (log case 069),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q228,Benign Activity,Was the observed activity non-malicious? (log case 228),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q152,Suspicious Process,Did the endpoint execute an unusual command? (log case 152),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q370,Benign Activity,Was this event consistent with normal system activity? (log case 370),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q218,Network Anomaly,Did the logs indicate suspicious communication with an external host? (log case 218),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q155,Privilege Escalation,Was an unauthorized privileged command executed? (log case 155),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q178,Network Anomaly,Was unusual outbound network traffic detected? (log case 178),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q398,Benign Activity,Did the logs indicate benign user behavior? (log case 398),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q140,Suspicious Process,Did the endpoint execute an unusual command? (log case 140),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q142,Network Anomaly,Was unusual outbound network traffic detected? (log case 142),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q327,Benign Activity,Was the observed activity non-malicious? (log case 327),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q176,Suspicious Process,Did the endpoint execute an unusual command? (log case 176),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q171,Privilege Escalation,Did a user gain elevated permissions suspiciously? (log case 171),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q089,Authentication Attack,Was there suspicious repeated login activity from a single IP? (log case 089),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q097,Authentication Attack,Did repeated failed SSH logins indicate a brute-force attack? (log case 097),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q440,Benign Activity,Did the logs indicate benign user behavior? (log case 440),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q304,Benign Activity,Was this event consistent with normal system activity? (log case 304),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q051,Privilege Escalation,Did a user gain elevated permissions suspiciously? (log case 051),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q200,Suspicious Process,Did the endpoint execute an unusual command? (log case 200),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q298,Benign Activity,Was this event consistent with normal system activity? (log case 298),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q132,Suspicious Process,Was potentially malicious process activity observed? (log case 132),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q121,Authentication Attack,Did repeated failed SSH logins indicate a brute-force attack? (log case 121),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q359,Benign Activity,Did the logs indicate benign user behavior? (log case 359),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q181,Authentication Attack,Did repeated failed SSH logins indicate a brute-force attack? (log case 181),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q371,Benign Activity,Did the logs indicate benign user behavior? (log case 371),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q038,Network Anomaly,Did the logs indicate suspicious communication with an external host? (log case 038),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q161,Authentication Attack,Was there suspicious repeated login activity from a single IP? (log case 161),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q005,Authentication Attack,Was there suspicious repeated login activity from a single IP? (log case 005),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q094,Network Anomaly,Was unusual outbound network traffic detected? (log case 094),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q305,Benign Activity,Did the logs indicate benign user behavior? (log case 305),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q189,Authentication Attack,Did the authentication logs show credential-stuffing behavior? (log case 189),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q375,Benign Activity,Was the observed activity non-malicious? (log case 375),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q454,Benign Activity,Was this event consistent with normal system activity? (log case 454),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q095,Privilege Escalation,Was an unauthorized privileged command executed? (log case 095),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q469,Benign Activity,Was this event consistent with normal system activity? (log case 469),Benign,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,FP,No
Q293,Benign Activity,Did the logs indicate benign user behavior? (log case 293),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q341,Benign Activity,Did the logs indicate benign user behavior? (log case 341),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q408,Benign Activity,Was the observed activity non-malicious? (log case 408),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q409,Benign Activity,Was this event consistent with normal system activity? (log case 409),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q188,Suspicious Process,Did the endpoint execute an unusual command? (log case 188),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q335,Benign Activity,Did the logs indicate benign user behavior? (log case 335),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q214,Network Anomaly,Was unusual outbound network traffic detected? (log case 214),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q128,Suspicious Process,Did the endpoint execute an unusual command? (log case 128),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q012,Suspicious Process,Was potentially malicious process activity observed? (log case 012),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q007,Privilege Escalation,Did the event indicate possible privilege escalation? (log case 007),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q443,Benign Activity,Did the logs indicate benign user behavior? (log case 443),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q247,Benign Activity,Was this event consistent with normal system activity? (log case 247),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q397,Benign Activity,Was this event consistent with normal system activity? (log case 397),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q426,Benign Activity,Was the observed activity non-malicious? (log case 426),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q346,Benign Activity,Was this event consistent with normal system activity? (log case 346),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q090,Network Anomaly,Was there abnormal port scanning activity? (log case 090),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q427,Benign Activity,Was this event consistent with normal system activity? (log case 427),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q027,Privilege Escalation,Did a user gain elevated permissions suspiciously? (log case 027),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q078,Network Anomaly,Was there abnormal port scanning activity? (log case 078),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q185,Authentication Attack,Was there suspicious repeated login activity from a single IP? (log case 185),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q263,Benign Activity,Did the logs indicate benign user behavior? (log case 263),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q208,Suspicious Process,Was a suspicious process execution detected? (log case 208),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q183,Privilege Escalation,Did a user gain elevated permissions suspiciously? (log case 183),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q096,Suspicious Process,Was potentially malicious process activity observed? (log case 096),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q101,Authentication Attack,Was there suspicious repeated login activity from a single IP? (log case 101),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q420,Benign Activity,Was the observed activity non-malicious? (log case 420),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q395,Benign Activity,Did the logs indicate benign user behavior? (log case 395),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q156,Suspicious Process,Was potentially malicious process activity observed? (log case 156),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q231,Benign Activity,Was the observed activity non-malicious? (log case 231),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q363,Benign Activity,Was the observed activity non-malicious? (log case 363),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q238,Benign Activity,Was this event consistent with normal system activity? (log case 238),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q354,Benign Activity,Was the observed activity non-malicious? (log case 354),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q086,Network Anomaly,Did the logs indicate suspicious communication with an external host? (log case 086),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q324,Benign Activity,Was the observed activity non-malicious? (log case 324),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q172,Suspicious Process,Was a suspicious process execution detected? (log case 172),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q394,Benign Activity,Was this event consistent with normal system activity? (log case 394),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q154,Network Anomaly,Was unusual outbound network traffic detected? (log case 154),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q314,Benign Activity,Did the logs indicate benign user behavior? (log case 314),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q039,Privilege Escalation,Did a user gain elevated permissions suspiciously? (log case 039),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q393,Benign Activity,Was the observed activity non-malicious? (log case 393),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q070,Network Anomaly,Was unusual outbound network traffic detected? (log case 070),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q107,Privilege Escalation,Was an unauthorized privileged command executed? (log case 107),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q349,Benign Activity,Was this event consistent with normal system activity? (log case 349),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q490,Authentication Attack,Did repeated failed SSH logins indicate a brute-force attack? (log case 490),Attack,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,FN,No
Q429,Benign Activity,Was the observed activity non-malicious? (log case 429),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q159,Privilege Escalation,Did a user gain elevated permissions suspiciously? (log case 159),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q032,Suspicious Process,Did the endpoint execute an unusual command? (log case 032),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q245,Benign Activity,Did the logs indicate benign user behavior? (log case 245),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q009,Authentication Attack,Did the authentication logs show credential-stuffing behavior? (log case 009),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q268,Benign Activity,Was this event consistent with normal system activity? (log case 268),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q486,Authentication Attack,Did the authentication logs show credential-stuffing behavior? (log case 486),Attack,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,FN,No
Q234,Benign Activity,Was the observed activity non-malicious? (log case 234),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q262,Benign Activity,Was this event consistent with normal system activity? (log case 262),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q402,Benign Activity,Was the observed activity non-malicious? (log case 402),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q292,Benign Activity,Was this event consistent with normal system activity? (log case 292),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q199,Privilege Escalation,Did the event indicate possible privilege escalation? (log case 199),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q133,Authentication Attack,Did repeated failed SSH logins indicate a brute-force attack? (log case 133),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q325,Benign Activity,Was this event consistent with normal system activity? (log case 325),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q323,Benign Activity,Did the logs indicate benign user behavior? (log case 323),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q003,Privilege Escalation,Did a user gain elevated permissions suspiciously? (log case 003),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q019,Privilege Escalation,Did the event indicate possible privilege escalation? (log case 019),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q489,Suspicious Process,Was potentially malicious process activity observed? (log case 489),Attack,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,FN,No
Q264,Benign Activity,Was the observed activity non-malicious? (log case 264),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q077,Authentication Attack,Was there suspicious repeated login activity from a single IP? (log case 077),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q254,Benign Activity,Did the logs indicate benign user behavior? (log case 254),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q315,Benign Activity,Was the observed activity non-malicious? (log case 315),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q352,Benign Activity,Was this event consistent with normal system activity? (log case 352),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q472,Benign Activity,Was this event consistent with normal system activity? (log case 472),Benign,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,FP,No
Q144,Suspicious Process,Was potentially malicious process activity observed? (log case 144),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q450,Benign Activity,Was the observed activity non-malicious? (log case 450),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q067,Privilege Escalation,Did the event indicate possible privilege escalation? (log case 067),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q180,Suspicious Process,Was potentially malicious process activity observed? (log case 180),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q134,Network Anomaly,Did the logs indicate suspicious communication with an external host? (log case 134),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q145,Authentication Attack,Did repeated failed SSH logins indicate a brute-force attack? (log case 145),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q407,Benign Activity,Did the logs indicate benign user behavior? (log case 407),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q281,Benign Activity,Did the logs indicate benign user behavior? (log case 281),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q270,Benign Activity,Was the observed activity non-malicious? (log case 270),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q467,Benign Activity,Did the logs indicate benign user behavior? (log case 467),Benign,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,FP,No
Q209,Authentication Attack,Was there suspicious repeated login activity from a single IP? (log case 209),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q146,Network Anomaly,Did the logs indicate suspicious communication with an external host? (log case 146),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q433,Benign Activity,Was this event consistent with normal system activity? (log case 433),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q278,Benign Activity,Did the logs indicate benign user behavior? (log case 278),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q342,Benign Activity,Was the observed activity non-malicious? (log case 342),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q466,Benign Activity,Was this event consistent with normal system activity? (log case 466),Benign,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,FP,No
Q318,Benign Activity,Was the observed activity non-malicious? (log case 318),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q018,Network Anomaly,Was there abnormal port scanning activity? (log case 018),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q449,Benign Activity,Did the logs indicate benign user behavior? (log case 449),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q021,Authentication Attack,Did the authentication logs show credential-stuffing behavior? (log case 021),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q131,Privilege Escalation,Was an unauthorized privileged command executed? (log case 131),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q239,Benign Activity,Did the logs indicate benign user behavior? (log case 239),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q297,Benign Activity,Was the observed activity non-malicious? (log case 297),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q287,Benign Activity,Did the logs indicate benign user behavior? (log case 287),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q337,Benign Activity,Was this event consistent with normal system activity? (log case 337),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q301,Benign Activity,Was this event consistent with normal system activity? (log case 301),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q150,Network Anomaly,Was there abnormal port scanning activity? (log case 150),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q204,Suspicious Process,Was potentially malicious process activity observed? (log case 204),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q388,Benign Activity,Was this event consistent with normal system activity? (log case 388),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q399,Benign Activity,Was the observed activity non-malicious? (log case 399),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q191,Privilege Escalation,Was an unauthorized privileged command executed? (log case 191),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q202,Network Anomaly,Was unusual outbound network traffic detected? (log case 202),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q419,Benign Activity,Did the logs indicate benign user behavior? (log case 419),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q015,Privilege Escalation,Did a user gain elevated permissions suspiciously? (log case 015),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q056,Suspicious Process,Did the endpoint execute an unusual command? (log case 056),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q076,Suspicious Process,Was a suspicious process execution detected? (log case 076),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q285,Benign Activity,Was the observed activity non-malicious? (log case 285),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q040,Suspicious Process,Was a suspicious process execution detected? (log case 040),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q392,Benign Activity,Did the logs indicate benign user behavior? (log case 392),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q461,Benign Activity,Did the logs indicate benign user behavior? (log case 461),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q258,Benign Activity,Was the observed activity non-malicious? (log case 258),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q179,Privilege Escalation,Was an unauthorized privileged command executed? (log case 179),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q213,Authentication Attack,Did the authentication logs show credential-stuffing behavior? (log case 213),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q473,Benign Activity,Did the logs indicate benign user behavior? (log case 473),Benign,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,FP,No
Q421,Benign Activity,Was this event consistent with normal system activity? (log case 421),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q068,Suspicious Process,Did the endpoint execute an unusual command? (log case 068),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q100,Suspicious Process,Was a suspicious process execution detected? (log case 100),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q477,Benign Activity,Was the observed activity non-malicious? (log case 477),Benign,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,FP,No
Q098,Network Anomaly,Did the logs indicate suspicious communication with an external host? (log case 098),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
